,text,url,text_len,text_word_count
0,"A night with me won't go flat, because Columbus makes the world go round!",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,73,14
1,Are we head-to-wind? Because I think I luff you…,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,48,9
2,Are you seaworthy? Because I’m going to ride you till dawn.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,59,11
3,Babe ahoy!,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,10,2
4,Can you help me navigate my way around that Wonderbra?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,54,10
5,Care to see me turn my dingy into a yacht?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,42,10
6,Columbus Day: the only day where white conservatives celebrate a Hispanic guy coming to America.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,96,15
7,Columbus discovered the new world; I want to discover your body.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,64,11
8,Come to this continent often?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,29,5
9,"Cute hat. It would look even better on your head, between my legs.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,66,13
10,DO YOU KNOW HOW TO FIRE A CANON???,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,34,8
11,Do you want to get some tuna fish and field mouse pudding?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,58,12
12,Do you want to go back to my place and see what you’re defending?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,65,14
13,Dowwwwwwn periscope!,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,20,2
14,"Excuse me, can you tell me if my boat shoes are, like, regulation?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,66,13
15,"For a sailor, you seem so grounded.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,35,7
16,"Get ready to man your torpedo, sailor.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,38,7
17,God I love a man in…my neighborhood bar.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,40,8
18,HAVE YOU EVER SEEN A SHARK???,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,29,6
19,"Hey babe, ever wondered why I am the capital of Ohio?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,53,11
20,"Hey babe, want to go sailing over my bounty main?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,49,10
21,"Hey babe, can I see your Bermuda Triangle?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,42,8
22,"Hey babe, did you know I'm a better lover than Ferdinand Magellan?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,66,12
23,"Hey babe, did you know you are the perfect cure for seasickness?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,64,12
24,"Hey babe, even though I am an admiral, I'm definitely not all wet when it comes to romance.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,91,18
25,"Hey babe, I want to be captain of your ship.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,44,10
26,"Hey babe, I'd like to celebrate my holiday with you.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,52,10
27,"Hey babe, I'd like to discover you as much as I discovered America.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,67,13
28,"Hey babe, I'd like to explore your world.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,41,8
29,"Hey babe, I'm definitely not a half-mast guy.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,45,8
30,"Hey babe, this torpedo will be in your ass soon.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,48,10
31,"Hey babe, want to give new meaning to the phrase ‘sleeping with the fishes'?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,76,14
32,"Hey babe, want to play explorers and Indians?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,45,8
33,"Hey babe, want to take a ride on my Nina, Pinta, and Santa Maria?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,65,14
34,"Hey babe, you're the first person I want to be with in a shipwreck.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,67,14
35,"Hey baby, looks like your boat needs some seamen…and I have the perfect crew.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,77,14
36,"Hey baby, you should see my other sailor moon costume.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,54,10
37,Hey girl! You’re like an island where everyone wants to dock his ship.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,70,13
38,"Hey sailor, you’re the coke to my cola!",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,39,8
39,Hey sexy! may I drop my anchor into your island?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,48,10
40,"Hey, sailor. Got any sweater vests that need bedazzling?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,56,9
41,How about you and me taking a voyage to Motel-6?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,48,10
42,How many gold doubloons for a lap dance?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,40,8
43,I can get a great deal on a fancy hotel room if I bring you with me.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,68,17
44,I can show you a brand new world.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,33,8
45,I consider it is my duty to debunk the popular misconception that you are flat.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,79,15
46,"I don’t have sea legs, but I can really hold my tequila.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,56,12
47,"I must be Columbus, because I'm going to explore you all night.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,63,12
